5009.319938253414875;7047.024058545472144;0;0.289158104664200;7.088565826416016;
5620.152535388076103;7047.024058545472144;0;0.202478593985656;12.437737941741943;
5685.856398178379095;7047.024058545472144;0;0.193154961450213;23.159732818603516;
5686.397830325600808;5720.526448556289324;0;0.005965992559881;42.327262878417969;
5688.746000258115600;5720.526448556289324;76;0.005555511120169;48.455969810485840;
5688.746000258115600;5720.526448556289324;213;0.005555511120169;54.488442897796631;
5688.746000258115600;5720.526448556289324;321;0.005555511120169;60.862984895706177;
5688.746000258115600;5720.526448556289324;399;0.005555511120169;72.503435850143433;
5688.746000258115600;5720.526448556289324;480;0.005555511120169;79.163215875625610;
5688.746000258115600;5720.526448556289324;596;0.005555511120169;87.430115938186646;
5688.746000258115600;5720.526448556289324;661;0.005555511120169;92.930176973342896;
5688.746000258115600;5720.526448556289324;745;0.005555511120169;98.506459951400757;
